ID2,Latitude,Longitude,TopDepth,BottomDepth,1998,2008,2015
3,46.77879099993472,-117.08667799999922,0,10,NA,NA,-26.4721044
3,46.77879099993472,-117.08667799999922,10,20,NA,NA,-25.781979200000002
3,46.77879099993472,-117.08667799999922,20,30,NA,NA,-25.395915200000005
3,46.77879099993472,-117.08667799999922,30,39,NA,NA,-25.359313200000003
3,46.77879099993472,-117.08667799999922,39,65,NA,NA,-24.560246400000004
3,46.77879099993472,-117.08667799999922,65,98,NA,NA,-24.423639199999997
3,46.77879099993472,-117.08667799999922,98,153,NA,NA,-24.427787999999993
5,46.77866599993601,-117.08584199999683,0,10,NA,NA,-26.533820399999996
5,46.77866599993601,-117.08584199999683,10,20,NA,NA,-25.67145200000001
5,46.77866599993601,-117.08584199999683,20,30,NA,NA,-25.46078
5,46.77866599993601,-117.08584199999683,30,42,NA,NA,-25.367540399999996
5,46.77866599993601,-117.08584199999683,42,66,NA,NA,-24.578757600000003
5,46.77866599993601,-117.08584199999683,66,97,NA,NA,-24.895565199999993
5,46.77866599993601,-117.08584199999683,97,153,NA,NA,-23.355323199999994
7,46.77863199993578,-117.08500599999627,0,10,NA,NA,-26.7806844
7,46.77863199993578,-117.08500599999627,10,20,NA,NA,-25.811657800000006
7,46.77863199993578,-117.08500599999627,20,30,NA,NA,-25.682144
7,46.77863199993578,-117.08500599999627,30,66,NA,NA,-25.352114399999998
7,46.77863199993578,-117.08500599999627,66,84,NA,NA,-24.6394332
7,46.77863199993578,-117.08500599999627,84,100,NA,NA,-24.459941199999996
7,46.77863199993578,-117.08500599999627,100,153,NA,NA,-24.112479199999996
9,46.77867399993299,-117.08416999999837,0,10,NA,NA,-26.853714999999994
9,46.77867399993299,-117.08416999999837,10,20,NA,NA,-25.906834000000003
9,46.77867399993299,-117.08416999999837,20,30,NA,NA,-25.8118736
9,46.77867399993299,-117.08416999999837,30,47,NA,NA,-25.160832
9,46.77867399993299,-117.08416999999837,47,73,NA,NA,-24.8050056
9,46.77867399993299,-117.08416999999837,73,103,NA,NA,-24.999285199999996
9,46.77867399993299,-117.08416999999837,103,153,NA,NA,-24.114553599999994
11,46.77865799993266,-117.08333399999816,0,10,NA,NA,-26.5286774
11,46.77865799993266,-117.08333399999816,10,20,NA,NA,-25.895576600000005
11,46.77865799993266,-117.08333399999816,20,30,NA,NA,-25.651256000000004
