ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon,c1998,c2008,c2015,n1998,n2008,n2015,d13C1998,d13C2008,d13C2015,pH1998,pH2008,pH2015,BD1998,BD2008,BD2015,CN1998,CN2008,CN2015
3,46.77879099993472,-117.08667799999922,0,10,Ap,1.5714,2.8806773049645384,1.7827451496795717,0.10836,0.20352063829787234,0.15009042226319022,,,-26.4721044,5.44,5.14,4.8,1.41,1.1099562683988518,0.9904370379519029,14.501661129568106,14.154226957309291,11.877807542932013
3,46.77879099993472,-117.08667799999922,10,20,Ap,1.6306,1.4327,1.3078486986366669,0.11413,0.12735,0.1279416531604538,,,-25.781979200000002,5.27,5.47,4.9,1.41,1.5394487132619263,1.0783915874164123,14.287216332252695,11.250098154691795,10.222227603988136
3,46.77879099993472,-117.08667799999922,20,30,Ap-A,1.072,1.1562,1.0467856638916326,0.07527,0.10361,0.09885988429518837,,,-25.395915200000005,6.08,6.1,5.61,1.4142692802498567,1.4142692802498567,1.0081690985761418,14.242061910455693,11.159154521764307,10.588578687448262
3,46.77879099993472,-117.08667799999922,30,39,A,0.78212,0.82842,1.0707072289680983,0.07959,0.08115,0.10312486399442922,,,-25.359313200000003,5.84,5.9,6.08,1.3247246739429994,1.3247246739429994,1.3247246739429994,9.826862671189849,10.208502772643254,10.382629246676512
3,46.77879099993472,-117.08667799999922,39,65,AB,0.60375,0.55104,0.6308106774559629,0.06136,0.06005,0.06469630433709973,,,-24.560246400000004,6.14,6.25,6.52,1.483003685694671,1.483003685694671,1.483003685694671,9.839471968709256,9.176353039134055,9.750335570469796
3,46.77879099993472,-117.08667799999922,65,98,Btb1,0.40322,0.34027,0.3531992470028733,0.04245,0.05288,0.04462829023415569,,,-24.423639199999997,6.53,6.54,6.86,1.6402256170546106,1.6402256170546106,1.6402256170546106,9.498704358068316,6.434757942511347,7.914245541330571
3,46.77879099993472,-117.08667799999922,98,153,Btb2,0.29231,0.25458,0.21249866208489426,0.04263,0.03872,0.03338591104977044,,,-24.427787999999993,6.76,6.75,7.11,1.64,1.64,1.64,6.856908280553601,6.574896694214876,6.36492027334852
5,46.77866599993601,-117.08584199999683,0,10,Ap,1.5833,3.5719818181818184,2.0785727987723,0.11978,0.26415636363636363,0.1751918281220027,,,-26.533820399999996,5.55,0,4.52,1.3757502819732201,1.1506752511190261,1.3286694779187327,13.21840040073468,13.522225128367497,11.864553393008677
5,46.77866599993601,-117.08584199999683,10,20,Ap-A,1.7757,1.539,1.3379170535437945,0.13518,0.13623,0.12291137934591972,,,-25.67145200000001,5.35,5.04,5.19,1.3757502819732201,1.4209642499050716,1.4551758208797219,13.135818908122504,11.297071129707113,10.885217143144926
5,46.77866599993601,-117.08584199999683,20,30,A,1.3003,1.4746,1.3502115634690408,0.12786,0.12702,0.11940182054616386,,,-25.46078,6.45,6.13,5.82,1.3757502819732201,1.3757502819732201,1.3918344301921413,10.169716877835132,11.60919540229885,11.30813213142771
5,46.77866599993601,-117.08584199999683,30,42,A,0.9738,1.1399,1.1888932711269298,0.07205,0.11295,0.1067577317108364,,,-25.367540399999996,6.01,5.73,6.01,1.3235182955147846,1.3235182955147846,1.3235182955147846,13.51561415683553,10.092076139884904,11.13636691295729
5,46.77866599993601,-117.08584199999683,42,66,BA,0.59671,0.49781,0.5935751585229392,0.06089,0.07368,0.06256061171204776,,,-24.578757600000003,6.28,6.26,6.48,1.334883559413613,1.334883559413613,1.334883559413613,9.799802923304318,6.756378935939197,9.48800119242808
5,46.77866599993601,-117.08584199999683,66,97,Bw1,0.43873,0.3689,0.41662140764785055,0.05165,0.05643,0.04922413110600902,,,-24.895565199999993,6.61,6.59,6.88,1.3556499687627557,1.3556499687627557,1.3556499687627557,8.49428848015489,6.537302853092327,8.46376357056695
5,46.77866599993601,-117.08584199999683,97,153,Bw2,0.33784,0.27737,0.2539551800709564,0.04129,0.0316,0.03420199596722733,,,-23.355323199999994,6.98,6.85,7.16,1.531562152644973,1.531562152644973,1.531562152644973,8.182126422862678,8.777531645569619,7.425156716417914
