ID2,Latitude,Longitude,TopDepth,BottomDepth,1998,2008,2015
3,46.77879099993472,-117.08667799999922,0,10,1.41,1.1099562683988518,0.9904370379519029
3,46.77879099993472,-117.08667799999922,10,20,1.41,1.5394487132619263,1.0783915874164123
3,46.77879099993472,-117.08667799999922,20,30,1.4142692802498567,1.4142692802498567,1.0081690985761418
3,46.77879099993472,-117.08667799999922,30,39,1.3247246739429994,1.3247246739429994,1.3247246739429994
3,46.77879099993472,-117.08667799999922,39,65,1.483003685694671,1.483003685694671,1.483003685694671
3,46.77879099993472,-117.08667799999922,65,98,1.6402256170546106,1.6402256170546106,1.6402256170546106
3,46.77879099993472,-117.08667799999922,98,153,1.64,1.64,1.64
5,46.77866599993601,-117.08584199999683,0,10,1.3757502819732201,1.1506752511190261,1.3286694779187327
5,46.77866599993601,-117.08584199999683,10,20,1.3757502819732201,1.4209642499050716,1.4551758208797219
5,46.77866599993601,-117.08584199999683,20,30,1.3757502819732201,1.3757502819732201,1.3918344301921413
5,46.77866599993601,-117.08584199999683,30,42,1.3235182955147846,1.3235182955147846,1.3235182955147846
5,46.77866599993601,-117.08584199999683,42,66,1.334883559413613,1.334883559413613,1.334883559413613
5,46.77866599993601,-117.08584199999683,66,97,1.3556499687627557,1.3556499687627557,1.3556499687627557
5,46.77866599993601,-117.08584199999683,97,153,1.531562152644973,1.531562152644973,1.531562152644973
7,46.77863199993578,-117.08500599999627,0,10,1.432545544755847,1.0771075553627043,1.3819538789985353
7,46.77863199993578,-117.08500599999627,10,20,1.432545544755847,1.432545544755847,1.4494415724191472
7,46.77863199993578,-117.08500599999627,20,30,1.4717816240359756,1.4717816240359756,1.417418000247014
7,46.77863199993578,-117.08500599999627,30,66,1.2767874077873471,1.2767874077873471,1.2767874077873471
7,46.77863199993578,-117.08500599999627,66,84,1.4159183273401346,1.4159183273401346,1.4159183273401346
7,46.77863199993578,-117.08500599999627,84,100,1.4471393715361365,1.4471393715361365,1.4471393715361365
7,46.77863199993578,-117.08500599999627,100,153,1.4993807489987243,1.4993807489987243,1.4993807489987243
9,46.77867399993299,-117.08416999999837,0,10,1.4689168619048278,0.889240548678073,1.121618998888438
9,46.77867399993299,-117.08416999999837,10,20,1.4689168619048278,1.4689168619048278,1.3903347036716835
9,46.77867399993299,-117.08416999999837,20,30,1.4907592216224506,1.4907592216224506,1.386276620145738
9,46.77867399993299,-117.08416999999837,30,47,1.3041200726757154,1.3041200726757154,1.3041200726757154
9,46.77867399993299,-117.08416999999837,47,73,1.360216133070168,1.360216133070168,1.360216133070168
9,46.77867399993299,-117.08416999999837,73,103,1.4579515755805486,1.4579515755805486,1.4579515755805486
9,46.77867399993299,-117.08416999999837,103,153,1.4552436070932881,1.4552436070932881,1.4552436070932881
11,46.77865799993266,-117.08333399999816,0,10,1.41,1.4317859527762447,1.3592815427774934
11,46.77865799993266,-117.08333399999816,10,20,1.41,1.4131794260996948,1.5002558357005487
11,46.77865799993266,-117.08333399999816,20,30,1.4907869746744449,1.4907869746744449,1.505813645746952
11,46.77865799993266,-117.08333399999816,30,44,1.327349189380334,1.327349189380334,1.327349189380334
11,46.77865799993266,-117.08333399999816,44,62,1.4065217748354502,1.4065217748354502,1.4065217748354502
11,46.77865799993266,-117.08333399999816,62,93,1.4973828442883201,1.4973828442883201,1.4973828442883201
11,46.77865799993266,-117.08333399999816,93,153,1.6793376255621761,1.6793376255621761,1.6793376255621761
13,46.778763999934995,-117.08249800000364,0,10,1.35008136080245,1.1261283874478618,1.365897983308926
13,46.778763999934995,-117.08249800000364,10,20,1.35008136080245,1.3748677322893679,1.463468426345784
13,46.778763999934995,-117.08249800000364,20,30,1.35008136080245,1.35008136080245,1.4420311590239425
13,46.778763999934995,-117.08249800000364,30,48,1.4236583864428949,1.4236583864428949,1.4236583864428949
13,46.778763999934995,-117.08249800000364,48,77,1.4739754493858892,1.4739754493858892,1.4739754493858892
13,46.778763999934995,-117.08249800000364,77,105,1.59379527742598,1.59379527742598,1.59379527742598
13,46.778763999934995,-117.08249800000364,105,153,1.6381616441713662,1.6381616441713662,1.6381616441713662
15,46.7787069999349,-117.08124400000357,0,10,1.2603607086596509,0.8989045154013652,1.3092612523598637
15,46.7787069999349,-117.08124400000357,10,20,1.2603607086596509,1.391176087001912,1.4242108791926178
15,46.7787069999349,-117.08124400000357,20,30,1.2603607086596509,1.2603607086596509,1.3363445489351944
15,46.7787069999349,-117.08124400000357,30,40,1.2686802608332695,1.2686802608332695,1.2686802608332695
15,46.7787069999349,-117.08124400000357,40,64,1.4278325191507557,1.4278325191507557,1.4278325191507557
15,46.7787069999349,-117.08124400000357,64,79,1.590817632389634,1.590817632389634,NA
15,46.7787069999349,-117.08124400000357,64,81,NA,NA,1.590817632389634
15,46.7787069999349,-117.08124400000357,79,110,1.6469503012368274,1.6469503012368274,NA
15,46.7787069999349,-117.08124400000357,81,110,NA,NA,1.6469503012368274
15,46.7787069999349,-117.08124400000357,110,153,1.670535186081484,1.670535186081484,1.670535186081484
17,46.77879699993179,-117.07998999999812,0,10,1.3226097241872472,0.8908535226686533,1.1577888737936024
17,46.77879699993179,-117.07998999999812,10,20,1.3226097241872472,1.3226097241872472,1.3130546782645518
17,46.77879699993179,-117.07998999999812,20,30,1.3515977110212063,1.3515977110212063,1.3346683840005646
17,46.77879699993179,-117.07998999999812,30,33,1.3488721508991837,1.3488721508991837,1.3488721508991837
17,46.77879699993179,-117.07998999999812,33,65,1.0497093335414434,1.0497093335414434,1.0497093335414434
17,46.77879699993179,-117.07998999999812,65,86,1.108553442039436,1.108553442039436,NA
17,46.77879699993179,-117.07998999999812,65,90,NA,NA,1.108553442039436
17,46.77879699993179,-117.07998999999812,86,153,1.512193702009989,1.512193702009989,NA
17,46.77879699993179,-117.07998999999812,90,153,NA,NA,1.512193702009989
19,46.778826619173316,-117.08846626321171,0,10,1.4705569994759666,1.2281007455790924,1.191
19,46.778826619173316,-117.08846626321171,10,20,1.5973997038425876,1.5973997038425876,1.476
19,46.778826619173316,-117.08846626321171,20,30,1.6224868920384545,1.6224868920384545,1.488
19,46.778826619173316,-117.08846626321171,30,43,NA,NA,1.5737943910257468
19,46.778826619173316,-117.08846626321171,30,48,1.529982935555068,1.5737943910257468,NA
19,46.778826619173316,-117.08846626321171,43,64,NA,NA,1.5101880012297453
19,46.778826619173316,-117.08846626321171,48,64,1.5512302909894071,1.5101880012297453,NA
19,46.778826619173316,-117.08846626321171,64,82,1.6079530850053791,1.6227863605843433,NA
19,46.778826619173316,-117.08846626321171,64,83,NA,NA,1.6227863605843433
