Year,ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon,BulkDensity,dC13,dC13AcidWashed,TNConc,TNConcAcidWashed,TCConc,TCConcAcidWashed,TocConc,TocStock,TicConc,TicStock,TNStock,pH
1998,3,46.77879099993472,-117.08667799999922,0,10,Ap,1.41,,,0.10836,,1.5714,,1.5714,22.156739999999996,0,0,1.5278759999999998,5.44
1998,3,46.77879099993472,-117.08667799999922,10,20,Ap,1.41,,,0.11413,,1.6306,,1.6306,22.99146,0,0,1.609233,5.27
1998,3,46.77879099993472,-117.08667799999922,20,30,Ap,1.4142692802498567,,,0.07527,,1.072,,1.072,15.160966684278465,0,0,1.0645204872440672,6.08
1998,3,46.77879099993472,-117.08667799999922,30,39,A,1.3247246739429994,,,0.07959,,0.78212,,0.78212,9.324842957858689,0,0,0.94891353119211,5.84
1998,3,46.77879099993472,-117.08667799999922,39,65,AB,1.483003685694671,,,0.06136,,0.60375,,0.60375,23.279450356192097,0,0,2.36592476000985,6.14
1998,3,46.77879099993472,-117.08667799999922,65,98,Btb1,1.6402256170546106,,,0.04245,,0.40322,,0.40322,21.825268519189084,0,0,2.2977100556509518,6.53
1998,3,46.77879099993472,-117.08667799999922,98,153,Btb2,1.64,,,0.04263,,0.29231,,0.29231,26.366362,0,0,3.8452260000000003,6.76
1998,5,46.77866599993601,-117.08584199999683,0,10,Ap,1.3757502819732201,,,0.11978,,1.5833,,1.5833,21.78225421448199,0,0,1.6478736877475229,5.55
1998,5,46.77866599993601,-117.08584199999683,10,20,Ap,1.3757502819732201,,,0.13518,,1.7757,,1.7757,24.429197756998473,0,0,1.859739231171399,5.35
1998,5,46.77866599993601,-117.08584199999683,20,30,Ap,1.3757502819732201,,,0.12786,,1.3003,,1.3003,17.888880916497783,0,0,1.7590343105309592,6.45
1998,5,46.77866599993601,-117.08584199999683,30,42,A,1.3235182955147846,,,0.07205,,0.9738,,0.9738,15.46610539406757,0,0,1.144313918302083,6.01
1998,5,46.77866599993601,-117.08584199999683,42,66,BA,1.334883559413613,,,0.06089,,0.59671,,0.59671,19.116920849704726,0,0,1.9507454383846774,6.28
1998,5,46.77866599993601,-117.08584199999683,66,97,Bw1,1.3556499687627557,,,0.05165,,0.43873,,0.43873,18.437693634653797,0,0,2.1705989474844865,6.61
1998,5,46.77866599993601,-117.08584199999683,97,153,Bw2,1.531562152644973,,,0.04129,,0.33784,,0.33784,28.975685628376347,0,0,3.5413392718318124,6.98
1998,7,46.77863199993578,-117.08500599999627,0,10,Ap,1.432545544755847,,,0.12386,,1.5755,,1.5755,22.569755057628367,0,0,1.7743509117345921,5.46
1998,7,46.77863199993578,-117.08500599999627,10,20,Ap,1.432545544755847,,,0.12438,,1.5229,,1.5229,21.81623610108679,0,0,1.7818001485673225,5.71
1998,7,46.77863199993578,-117.08500599999627,20,30,Ap,1.4717816240359756,,,0.11512,,1.3813,,1.3813,20.329719572808926,0,0,1.6943150055902152,6.14
1998,7,46.77863199993578,-117.08500599999627,30,66,A,1.2767874077873471,,,0.10775,,1.2798,,1.2798,58.82517088150488,0,0,4.952658354807119,6.12
1998,7,46.77863199993578,-117.08500599999627,66,84,Bw,1.4159183273401346,,,0.07677,,0.75946,,0.75946,19.355999991871297,0,0,1.9566008998182383,6.46
1998,7,46.77863199993578,-117.08500599999627,84,100,Ab,1.4471393715361365,,,0.07565,,0.85131,,0.85131,19.711427494118855,0,0,1.7516174953073393,6.66
1998,7,46.77863199993578,-117.08500599999627,100,153,Bwb,1.4993807489987243,,,0.04358,,0.40996,,0.40996,32.578364988554405,0,0,3.4631796911923134,6.78
1998,9,46.77867399993299,-117.08416999999837,0,10,Ap,1.4689168619048278,,,0.12901,,1.6238,,1.6238,23.852272003610594,0,0,1.895049643543419,5.45
1998,9,46.77867399993299,-117.08416999999837,10,20,Ap,1.4689168619048278,,,0.13167,,1.6934,,1.6934,24.87463813949636,0,0,1.9341228320700867,5.41
1998,9,46.77867399993299,-117.08416999999837,20,30,Ap,1.4907592216224506,,,0.13037,,1.4561,,1.4561,21.7069450260445,0,0,1.9435027972291887,5.96
1998,9,46.77867399993299,-117.08416999999837,30,47,A,1.3041200726757154,,,0.10766,,1.1939,,1.1939,26.468812231048116,0,0,2.386826639412548,5.93
1998,9,46.77867399993299,-117.08416999999837,47,73,Bw1,1.360216133070168,,,0.06243,,0.62874,,0.62874,22.23577957916997,0,0,2.2078756228768355,6.33
1998,9,46.77867399993299,-117.08416999999837,73,103,Bw2,1.4579515755805486,,,0.04046,,0.38849,,0.38849,16.99198822791862,0,0,1.7696616224396697,6.45
1998,9,46.77867399993299,-117.08416999999837,103,153,Bwb,1.4552436070932881,,,0.03951,,0.3161,,0.3161,23.000125210109417,0,0,2.874833745812791,6.57
1998,11,46.77865799993266,-117.08333399999816,0,10,Ap,1.41,,,0.1128,,1.439,,1.439,20.2899,0,0,1.5904799999999997,5.59
1998,11,46.77865799993266,-117.08333399999816,10,20,Ap,1.41,,,0.11911,,1.5278,,1.5278,21.54198,0,0,1.6794509999999998,5.3
1998,11,46.77865799993266,-117.08333399999816,20,30,Ap,1.4907869746744449,,,0.12543,,1.8119,,1.8119,27.011569194126267,0,0,1.8698941023341564,5.89
1998,11,46.77865799993266,-117.08333399999816,30,44,A,1.327349189380334,,,0.09863,,1.1839,,1.1839,22.000281874303283,0,0,1.8328303076801529,6.08
1998,11,46.77865799993266,-117.08333399999816,44,62,AB,1.4065217748354502,,,0.0827,,0.96181,,0.96181,24.350520748580717,0,0,2.093748314020051,6.27
