ID2,Latitude,Longitude,TopDepth,BottomDepth,1998,2008,2015
3,46.77879099993472,-117.08667799999922,0,10,5.44,5.14,4.8
3,46.77879099993472,-117.08667799999922,10,20,5.27,5.47,4.9
3,46.77879099993472,-117.08667799999922,20,30,6.08,6.1,5.61
3,46.77879099993472,-117.08667799999922,30,39,5.84,5.9,6.08
3,46.77879099993472,-117.08667799999922,39,65,6.14,6.25,6.52
3,46.77879099993472,-117.08667799999922,65,98,6.53,6.54,6.86
3,46.77879099993472,-117.08667799999922,98,153,6.76,6.75,7.11
5,46.77866599993601,-117.08584199999683,0,10,5.55,0,4.52
5,46.77866599993601,-117.08584199999683,10,20,5.35,5.04,5.19
5,46.77866599993601,-117.08584199999683,20,30,6.45,6.13,5.82
5,46.77866599993601,-117.08584199999683,30,42,6.01,5.73,6.01
5,46.77866599993601,-117.08584199999683,42,66,6.28,6.26,6.48
5,46.77866599993601,-117.08584199999683,66,97,6.61,6.59,6.88
5,46.77866599993601,-117.08584199999683,97,153,6.98,6.85,7.16
7,46.77863199993578,-117.08500599999627,0,10,5.46,4.86,4.79
7,46.77863199993578,-117.08500599999627,10,20,5.71,5.09,5.11
7,46.77863199993578,-117.08500599999627,20,30,6.14,5.94,5.69
7,46.77863199993578,-117.08500599999627,30,66,6.12,6.16,6.31
7,46.77863199993578,-117.08500599999627,66,84,6.46,6.44,6.74
7,46.77863199993578,-117.08500599999627,84,100,6.66,6.54,6.9
7,46.77863199993578,-117.08500599999627,100,153,6.78,6.7,7.19
9,46.77867399993299,-117.08416999999837,0,10,5.45,4.77,4.55
9,46.77867399993299,-117.08416999999837,10,20,5.41,5.26,4.78
9,46.77867399993299,-117.08416999999837,20,30,5.96,6.08,5.79
9,46.77867399993299,-117.08416999999837,30,47,5.93,5.64,6.06
9,46.77867399993299,-117.08416999999837,47,73,6.33,6.38,6.73
9,46.77867399993299,-117.08416999999837,73,103,6.45,6.63,6.94
9,46.77867399993299,-117.08416999999837,103,153,6.57,7.07,7.16
11,46.77865799993266,-117.08333399999816,0,10,5.59,4.66,4.69
11,46.77865799993266,-117.08333399999816,10,20,5.3,5.43,5.2
11,46.77865799993266,-117.08333399999816,20,30,5.89,6.09,5.84
11,46.77865799993266,-117.08333399999816,30,44,6.08,5.95,6.16
11,46.77865799993266,-117.08333399999816,44,62,6.27,6.27,6.84
11,46.77865799993266,-117.08333399999816,62,93,6.57,6.48,7.13
11,46.77865799993266,-117.08333399999816,93,153,6.71,6.81,7.05
13,46.778763999934995,-117.08249800000364,0,10,5.42,4.94,4.97
13,46.778763999934995,-117.08249800000364,10,20,5.52,5.44,5.38
13,46.778763999934995,-117.08249800000364,20,30,6.17,6.16,5.91
13,46.778763999934995,-117.08249800000364,30,48,6.22,5.47,6.18
13,46.778763999934995,-117.08249800000364,48,77,6.4,6.11,6.68
13,46.778763999934995,-117.08249800000364,77,105,6.57,6.41,6.89
13,46.778763999934995,-117.08249800000364,105,153,6.74,6.62,7.09
15,46.7787069999349,-117.08124400000357,0,10,5.74,4.88,5.18
15,46.7787069999349,-117.08124400000357,10,20,5.83,5.58,6.13
15,46.7787069999349,-117.08124400000357,20,30,6.74,6.5,6.24
15,46.7787069999349,-117.08124400000357,30,40,6.1,5.74,5.91
15,46.7787069999349,-117.08124400000357,40,64,6.11,6.08,6.55
15,46.7787069999349,-117.08124400000357,64,79,6.2,6.44,NA
15,46.7787069999349,-117.08124400000357,64,81,NA,NA,6.91
15,46.7787069999349,-117.08124400000357,79,110,5.81,6.16,NA
15,46.7787069999349,-117.08124400000357,81,110,NA,NA,6.81
15,46.7787069999349,-117.08124400000357,110,153,5.81,5.97,6.76
17,46.77879699993179,-117.07998999999812,0,10,5.25,4.58,4.54
17,46.77879699993179,-117.07998999999812,10,20,5,5.1,4.95
17,46.77879699993179,-117.07998999999812,20,30,5.68,5.88,5.71
17,46.77879699993179,-117.07998999999812,30,33,5.68,5.13,5.61
17,46.77879699993179,-117.07998999999812,33,65,5.89,5.95,6.33
17,46.77879699993179,-117.07998999999812,65,86,6.41,6.17,NA
17,46.77879699993179,-117.07998999999812,65,90,NA,NA,6.92
17,46.77879699993179,-117.07998999999812,86,153,6.11,6.09,NA
17,46.77879699993179,-117.07998999999812,90,153,NA,NA,7.57
19,46.778826619173316,-117.08846626321171,0,10,4.61,4.54,4.46
19,46.778826619173316,-117.08846626321171,10,20,5.22,4.78,4.62
19,46.778826619173316,-117.08846626321171,20,30,6.01,5.88,5.39
19,46.778826619173316,-117.08846626321171,30,43,NA,NA,5.87
19,46.778826619173316,-117.08846626321171,30,48,5.63,5.75,NA
19,46.778826619173316,-117.08846626321171,43,64,NA,NA,6.35
19,46.778826619173316,-117.08846626321171,48,64,5.9,6.08,NA
19,46.778826619173316,-117.08846626321171,64,82,6.15,6.29,NA
19,46.778826619173316,-117.08846626321171,64,83,NA,NA,6.64
19,46.778826619173316,-117.08846626321171,82,110,6,6.38,NA
19,46.778826619173316,-117.08846626321171,83,110,NA,NA,6.75
19,46.778826619173316,-117.08846626321171,110,127,6.19,6.4,6.75
19,46.778826619173316,-117.08846626321171,127,153,6.29,6.38,6.93
21,46.77884199993136,-117.08764599999684,0,10,5.3,4.99,5.39
21,46.77884199993136,-117.08764599999684,10,20,5.89,5.58,5.35
