ID2,Latitude,Longitude,TopDepth,BottomDepth,1998,2008,2015
3,46.77879099993472,-117.08667799999922,0,10,1.5714,2.8806773049645384,1.7827451496795717
3,46.77879099993472,-117.08667799999922,10,20,1.6306,1.4327,1.3078486986366669
3,46.77879099993472,-117.08667799999922,20,30,1.072,1.1562,1.0467856638916326
3,46.77879099993472,-117.08667799999922,30,39,0.78212,0.82842,1.0707072289680983
3,46.77879099993472,-117.08667799999922,39,65,0.60375,0.55104,0.6308106774559629
3,46.77879099993472,-117.08667799999922,65,98,0.40322,0.34027,0.3531992470028733
3,46.77879099993472,-117.08667799999922,98,153,0.29231,0.25458,0.21249866208489426
5,46.77866599993601,-117.08584199999683,0,10,1.5833,3.5719818181818184,2.0785727987723
5,46.77866599993601,-117.08584199999683,10,20,1.7757,1.539,1.3379170535437945
5,46.77866599993601,-117.08584199999683,20,30,1.3003,1.4746,1.3502115634690408
5,46.77866599993601,-117.08584199999683,30,42,0.9738,1.1399,1.1888932711269298
5,46.77866599993601,-117.08584199999683,42,66,0.59671,0.49781,0.5935751585229392
5,46.77866599993601,-117.08584199999683,66,97,0.43873,0.3689,0.41662140764785055
5,46.77866599993601,-117.08584199999683,97,153,0.33784,0.27737,0.2539551800709564
7,46.77863199993578,-117.08500599999627,0,10,1.5755,4.046995384615385,2.283558728957821
7,46.77863199993578,-117.08500599999627,10,20,1.5229,1.5455,1.4390234134319164
7,46.77863199993578,-117.08500599999627,20,30,1.3813,1.4735,1.3891353172375074
7,46.77863199993578,-117.08500599999627,30,66,1.2798,1.1001,1.187824985485829
7,46.77863199993578,-117.08500599999627,66,84,0.75946,0.58469,0.6161414404487628
7,46.77863199993578,-117.08500599999627,84,100,0.85131,0.42981,0.4710028451775839
7,46.77863199993578,-117.08500599999627,100,153,0.40996,0.36708,0.2606657014051137
9,46.77867399993299,-117.08416999999837,0,10,1.6238,5.172873134328358,2.323379210431003
9,46.77867399993299,-117.08416999999837,10,20,1.6934,1.6554,1.5112398679075354
9,46.77867399993299,-117.08416999999837,20,30,1.4561,1.3837,1.4193836693175514
9,46.77867399993299,-117.08416999999837,30,47,1.1939,1.1475,1.1164884922498826
9,46.77867399993299,-117.08416999999837,47,73,0.62874,0.62617,0.5765099188241511
9,46.77867399993299,-117.08416999999837,73,103,0.38849,0.42614,0.3997041187456995
9,46.77867399993299,-117.08416999999837,103,153,0.3161,0.36123,0.2287387219545951
11,46.77865799993266,-117.08333399999816,0,10,1.439,2.6159109375,2.060716255976462
11,46.77865799993266,-117.08333399999816,10,20,1.5278,1.6525,1.3865358395013634
11,46.77865799993266,-117.08333399999816,20,30,1.8119,1.3928,1.2425511230305064
11,46.77865799993266,-117.08333399999816,30,44,1.1839,1.0929,0.9600610163027932
11,46.77865799993266,-117.08333399999816,44,62,0.96181,0.56815,0.2840038813881179
11,46.77865799993266,-117.08333399999816,62,93,0.42476,0.43062,0.3521308134148602
11,46.77865799993266,-117.08333399999816,93,153,0.26959,0.2553,0.164817306114796
13,46.778763999934995,-117.08249800000364,0,10,1.5841,3.493966666666667,1.9458926420061577
